			Flux (/cm^2/1E21p.o.t/50MeV)
Bin#	Energy (GeV)	numu		anti-numu	nue		anti-nue
---------------------------------------------------------------------------------
123	 6.10- 6.15	3.73e+09	2.76e+08	9.89e+07	3.17e+07
124	 6.15- 6.20	3.66e+09	2.79e+08	9.70e+07	3.07e+07
125	 6.20- 6.25	3.66e+09	2.28e+08	9.49e+07	3.30e+07
126	 6.25- 6.30	3.58e+09	2.95e+08	1.09e+08	2.84e+07
127	 6.30- 6.35	3.46e+09	2.58e+08	8.96e+07	2.86e+07
128	 6.35- 6.40	3.29e+09	2.34e+08	9.19e+07	2.33e+07
129	 6.40- 6.45	3.12e+09	2.78e+08	8.37e+07	2.51e+07
130	 6.45- 6.50	3.14e+09	2.12e+08	9.68e+07	2.51e+07
131	 6.50- 6.55	3.05e+09	1.94e+08	7.73e+07	2.62e+07
132	 6.55- 6.60	3.07e+09	2.57e+08	8.38e+07	2.73e+07
133	 6.60- 6.65	3.04e+09	2.25e+08	7.89e+07	2.14e+07
134	 6.65- 6.70	2.78e+09	2.76e+08	7.56e+07	2.27e+07
135	 6.70- 6.75	2.80e+09	1.46e+08	7.08e+07	2.05e+07
136	 6.75- 6.80	2.70e+09	2.03e+08	7.00e+07	2.04e+07
137	 6.80- 6.85	2.71e+09	1.55e+08	6.50e+07	1.83e+07
138	 6.85- 6.90	2.61e+09	1.41e+08	6.50e+07	2.34e+07
139	 6.90- 6.95	2.51e+09	1.87e+08	6.61e+07	1.72e+07
140	 6.95- 7.00	2.48e+09	2.17e+08	5.98e+07	1.65e+07
141	 7.00- 7.05	2.47e+09	1.53e+08	5.67e+07	1.68e+07
142	 7.05- 7.10	2.35e+09	1.38e+08	5.72e+07	1.60e+07
143	 7.10- 7.15	2.28e+09	1.55e+08	5.29e+07	1.87e+07
144	 7.15- 7.20	2.20e+09	1.47e+08	5.23e+07	1.34e+07
145	 7.20- 7.25	2.15e+09	1.48e+08	4.80e+07	1.91e+07
146	 7.25- 7.30	2.15e+09	1.56e+08	4.87e+07	1.45e+07
147	 7.30- 7.35	2.19e+09	1.66e+08	4.64e+07	1.24e+07
148	 7.35- 7.40	2.11e+09	1.50e+08	4.60e+07	1.41e+07
149	 7.40- 7.45	2.00e+09	1.30e+08	5.13e+07	9.90e+06
150	 7.45- 7.50	2.00e+09	1.28e+08	4.50e+07	1.22e+07
151	 7.50- 7.55	1.88e+09	1.60e+08	4.57e+07	1.16e+07
152	 7.55- 7.60	1.91e+09	1.35e+08	4.07e+07	9.64e+06
153	 7.60- 7.65	1.83e+09	1.11e+08	4.58e+07	1.41e+07
154	 7.65- 7.70	1.78e+09	1.06e+08	3.82e+07	1.28e+07
155	 7.70- 7.75	1.70e+09	1.42e+08	3.29e+07	1.19e+07
156	 7.75- 7.80	1.67e+09	1.62e+08	3.47e+07	1.22e+07
157	 7.80- 7.85	1.71e+09	1.23e+08	3.98e+07	9.60e+06
158	 7.85- 7.90	1.66e+09	1.08e+08	3.26e+07	1.03e+07
159	 7.90- 7.95	1.54e+09	1.07e+08	3.09e+07	1.49e+07
160	 7.95- 8.00	1.61e+09	7.92e+07	2.71e+07	8.80e+06
161	 8.00- 8.05	1.56e+09	1.28e+08	3.02e+07	1.26e+07
162	 8.05- 8.10	1.50e+09	8.53e+07	3.09e+07	8.11e+06
163	 8.10- 8.15	1.47e+09	1.12e+08	2.65e+07	1.21e+07
164	 8.15- 8.20	1.40e+09	9.35e+07	3.05e+07	7.01e+06
165	 8.20- 8.25	1.39e+09	9.56e+07	2.77e+07	7.58e+06
166	 8.25- 8.30	1.37e+09	9.84e+07	3.13e+07	1.43e+07
167	 8.30- 8.35	1.41e+09	8.12e+07	2.76e+07	7.64e+06
168	 8.35- 8.40	1.24e+09	9.94e+07	2.48e+07	9.78e+06
169	 8.40- 8.45	1.29e+09	7.47e+07	2.33e+07	7.68e+06
170	 8.45- 8.50	1.23e+09	6.27e+07	2.47e+07	6.36e+06
171	 8.50- 8.55	1.21e+09	7.84e+07	1.94e+07	9.35e+06
172	 8.55- 8.60	1.25e+09	9.52e+07	2.36e+07	6.44e+06
173	 8.60- 8.65	1.20e+09	6.21e+07	2.15e+07	6.98e+06
174	 8.65- 8.70	1.09e+09	7.98e+07	2.06e+07	4.02e+06
175	 8.70- 8.75	1.16e+09	7.40e+07	1.96e+07	5.12e+06
176	 8.75- 8.80	1.12e+09	6.23e+07	2.12e+07	4.01e+06
177	 8.80- 8.85	1.13e+09	7.73e+07	1.86e+07	7.13e+06
178	 8.85- 8.90	1.06e+09	6.41e+07	2.36e+07	3.63e+06
179	 8.90- 8.95	1.05e+09	6.52e+07	1.89e+07	4.16e+06
180	 8.95- 9.00	1.04e+09	5.49e+07	1.98e+07	4.57e+06
181	 9.00- 9.05	1.05e+09	6.80e+07	1.47e+07	7.35e+06
182	 9.05- 9.10	9.31e+08	6.34e+07	4.94e+07	2.36e+06
183	 9.10- 9.15	9.66e+08	5.34e+07	1.76e+07	5.50e+06
184	 9.15- 9.20	9.50e+08	1.31e+08	1.70e+07	4.59e+06
185	 9.20- 9.25	8.80e+08	5.50e+07	1.34e+07	2.09e+06
186	 9.25- 9.30	8.90e+08	4.78e+07	1.87e+07	5.06e+06
187	 9.30- 9.35	8.29e+08	5.10e+07	1.33e+07	3.70e+06
188	 9.35- 9.40	8.96e+08	5.95e+07	1.27e+07	5.75e+06
189	 9.40- 9.45	8.09e+08	4.94e+07	1.08e+07	2.19e+06
190	 9.45- 9.50	8.08e+08	6.23e+07	1.15e+07	3.73e+06
191	 9.50- 9.55	8.04e+08	3.90e+07	1.09e+07	4.53e+06
192	 9.55- 9.60	7.41e+08	5.32e+07	1.39e+07	1.84e+06
193	 9.60- 9.65	7.44e+08	5.67e+07	9.03e+06	5.57e+06
194	 9.65- 9.70	7.32e+08	6.26e+07	8.44e+06	3.07e+06
195	 9.70- 9.75	7.46e+08	5.46e+07	9.82e+06	3.35e+06
196	 9.75- 9.80	8.40e+08	2.98e+07	1.13e+07	1.97e+06
197	 9.80- 9.85	6.66e+08	3.86e+07	1.01e+07	9.70e+05
198	 9.85- 9.90	6.67e+08	4.40e+07	8.12e+06	1.75e+06
199	 9.90- 9.95	6.26e+08	4.45e+07	1.01e+07	1.91e+06
200	 9.95-10.00	6.46e+08	2.68e+07	7.37e+06	4.33e+06
201	10.00-11.00	5.02e+08	3.05e+07	6.41e+06	1.93e+06
202	11.00-12.00	3.15e+08	1.91e+07	3.27e+06	1.05e+06
203	12.00-13.00	2.01e+08	9.65e+06	1.66e+06	5.19e+05
204	13.00-14.00	1.26e+08	6.14e+06	1.14e+06	4.46e+05
205	14.00-15.00	7.37e+07	2.99e+06	4.04e+05	2.33e+05
206	15.00-16.00	5.02e+07	1.28e+06	3.89e+05	1.42e+05
207	16.00-17.00	2.73e+07	6.69e+05	1.84e+04	2.32e+03
208	17.00-18.00	1.70e+07	1.31e+05	9.90e+03	2.51e+03
209	18.00-19.00	9.69e+06	9.61e+04	6.25e+03	0.00e+00
210	19.00-20.00	4.06e+06	0.00e+00	2.28e+04	0.00e+00
211	20.00-21.00	2.23e+06	0.00e+00	7.48e+03	0.00e+00
212	21.00-22.00	4.31e+05	0.00e+00	0.00e+00	0.00e+00
213	22.00-23.00	2.47e+05	0.00e+00	0.00e+00	0.00e+00
214	23.00-24.00	1.25e+05	0.00e+00	0.00e+00	0.00e+00
215	24.00-25.00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
216	25.00-26.00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
217	26.00-27.00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
218	27.00-28.00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
219	28.00-29.00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
220	29.00-30.00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
