			Flux (/cm^2/1E21p.o.t/50MeV)
Bin#	Energy (GeV)	numu		anti-numu	nue		anti-nue
---------------------------------------------------------------------------------
160	 7.95- 8.00	9.15e+02	7.47e+01	1.63e+01	4.99e+00
161	 8.00- 8.05	9.38e+02	7.57e+01	1.66e+01	5.48e+00
162	 8.05- 8.10	9.21e+02	6.72e+01	1.53e+01	5.00e+00
163	 8.10- 8.15	8.75e+02	6.82e+01	1.47e+01	5.97e+00
164	 8.15- 8.20	8.43e+02	5.65e+01	1.40e+01	4.60e+00
165	 8.20- 8.25	8.45e+02	7.64e+01	1.65e+01	4.30e+00
166	 8.25- 8.30	8.15e+02	5.92e+01	1.42e+01	6.19e+00
167	 8.30- 8.35	7.92e+02	6.38e+01	1.16e+01	3.41e+00
168	 8.35- 8.40	7.46e+02	5.30e+01	1.74e+01	5.22e+00
169	 8.40- 8.45	7.50e+02	4.85e+01	1.45e+01	6.32e+00
170	 8.45- 8.50	7.31e+02	5.82e+01	1.37e+01	5.18e+00
171	 8.50- 8.55	7.12e+02	7.09e+01	1.18e+01	4.59e+00
172	 8.55- 8.60	6.57e+02	5.09e+01	1.14e+01	4.66e+00
173	 8.60- 8.65	6.68e+02	5.52e+01	1.07e+01	3.76e+00
174	 8.65- 8.70	6.41e+02	4.75e+01	1.16e+01	4.18e+00
175	 8.70- 8.75	6.39e+02	5.60e+01	1.03e+01	3.27e+00
176	 8.75- 8.80	6.22e+02	4.74e+01	9.82e+00	3.24e+00
177	 8.80- 8.85	5.96e+02	5.15e+01	8.04e+00	2.29e+00
178	 8.85- 8.90	6.00e+02	4.78e+01	1.10e+01	2.95e+00
179	 8.90- 8.95	5.84e+02	4.60e+01	8.32e+00	2.88e+00
180	 8.95- 9.00	5.61e+02	9.07e+01	9.48e+00	4.23e+00
181	 9.00- 9.05	5.36e+02	4.05e+01	8.69e+00	3.07e+00
182	 9.05- 9.10	5.10e+02	4.29e+01	7.96e+00	2.04e+00
183	 9.10- 9.15	5.46e+02	6.55e+01	7.59e+00	2.79e+00
184	 9.15- 9.20	5.10e+02	4.48e+01	9.33e+00	3.22e+00
185	 9.20- 9.25	4.61e+02	4.54e+01	8.04e+00	2.47e+00
186	 9.25- 9.30	4.96e+02	3.61e+01	7.94e+00	3.28e+00
187	 9.30- 9.35	4.64e+02	4.56e+01	7.26e+00	2.36e+00
188	 9.35- 9.40	4.65e+02	2.86e+01	6.49e+00	2.42e+00
189	 9.40- 9.45	4.27e+02	3.47e+01	5.77e+00	1.73e+00
190	 9.45- 9.50	4.19e+02	4.13e+01	6.25e+00	2.68e+00
191	 9.50- 9.55	4.24e+02	3.61e+01	5.24e+00	1.77e+00
192	 9.55- 9.60	4.07e+02	2.81e+01	5.07e+00	1.57e+00
193	 9.60- 9.65	3.85e+02	2.87e+01	5.76e+00	1.63e+00
194	 9.65- 9.70	3.75e+02	2.89e+01	4.72e+00	1.78e+00
195	 9.70- 9.75	3.58e+02	2.79e+01	4.68e+00	1.49e+00
196	 9.75- 9.80	3.86e+02	3.35e+01	5.08e+00	2.44e+00
197	 9.80- 9.85	3.54e+02	2.73e+01	3.97e+00	8.83e-01
198	 9.85- 9.90	3.49e+02	2.37e+01	3.65e+00	1.43e+00
199	 9.90- 9.95	3.37e+02	2.60e+01	4.00e+00	3.25e-01
200	 9.95-10.00	3.25e+02	2.11e+01	3.54e+00	1.05e+00
201	10.00-11.00	2.52e+02	1.87e+01	3.23e+00	1.04e+00
202	11.00-12.00	1.48e+02	1.18e+01	1.35e+00	4.64e-01
203	12.00-13.00	8.75e+01	7.57e+00	8.03e-01	3.22e-01
204	13.00-14.00	5.47e+01	3.46e+00	3.56e-01	1.21e-01
205	14.00-15.00	3.46e+01	2.80e+00	1.21e-01	2.87e-02
206	15.00-16.00	1.76e+01	1.17e+00	9.42e-02	4.28e-02
207	16.00-17.00	9.60e+00	4.06e-01	3.23e-02	8.71e-04
208	17.00-18.00	7.18e+00	6.87e-02	8.43e-04	9.10e-04
209	18.00-19.00	3.10e+00	8.50e-02	9.86e-04	9.66e-04
210	19.00-20.00	6.58e-01	0.00e+00	0.00e+00	0.00e+00
211	20.00-21.00	6.23e-01	0.00e+00	0.00e+00	0.00e+00
212	21.00-22.00	2.53e-01	0.00e+00	0.00e+00	0.00e+00
213	22.00-23.00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
214	23.00-24.00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
215	24.00-25.00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
216	25.00-26.00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
217	26.00-27.00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
218	27.00-28.00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
219	28.00-29.00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
220	29.00-30.00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
